A,N*,N1,N2
34.0,34.0,33.99508490135321,33.990234375
35.0,35.0,34.995086459088924,34.990234375
36.0,36.0,35.995088794557425,35.990234375
37.0,37.0,36.995090340171295,36.990234375
38.0,38.0,37.99509186922019,37.990234375
39.0,39.0,38.995093375427324,38.990234375
40.0,40.0,39.99509557979588,39.990234375
41.0,41.0,40.99509700497473,40.990234375
42.0,42.0,41.995098389852956,41.990234375
43.0,43.0,42.99509973041776,42.990234375
44.0,44.0,43.99510102337356,43.990234375
45.0,45.0,44.99510286793169,44.990234375
46.0,46.0,45.99510403079607,45.990234375
47.0,47.0,46.99510513900738,46.990234375
48.0,48.0,47.995106191388594,47.990234375
49.0,49.0,48.995107664630964,48.990234375
50.0,50.0,49.99510857600052,49.990234375
51.0,51.0,50.9951094319724,50.990234375
52.0,52.0,51.99511023315056,51.990234375
53.0,53.0,52.995110980726544,52.990234375
54.0,54.0,53.99511200413216,53.990234375
55.0,55.0,54.99511262530948,54.990234375
56.0,56.0,55.99511319820383,55.990234375
57.0,57.0,56.99511372564258,56.990234375
58.0,58.0,57.99511443574021,57.990234375
59.0,59.0,58.995114860005124,58.990234375
60.0,60.0,59.995115246129046,59.990234375
61.0,61.0,60.99511559711703,60.990234375
62.0,62.0,61.99511591529015,61.990234375
63.0,63.0,62.99511633546351,62.990234375
64.0,64.0,63.99511658153511,63.990234375
65.0,65.0,64.99511680247431,64.990234375
66.0,66.0,65.9951170003644,65.990234375
67.0,67.0,66.99511725815567,66.990234375
68.0,68.0,67.99511740670621,67.990234375
69.0,69.0,68.9951175385187,68.990234375
70.0,70.0,69.99511765519694,69.990234375
71.0,71.0,70.99511775821163,70.990234375
72.0,72.0,71.99511789004615,71.990234375
73.0,73.0,72.9951179646597,72.990234375
74.0,74.0,73.99511802990524,73.990234375
75.0,75.0,74.99511808683718,74.990234375
76.0,76.0,75.99511815860485,75.990234375
77.0,77.0,76.995118198595,76.990234375
78.0,78.0,77.995118233122,77.990234375
79.0,79.0,78.99511826285337,78.990234375
80.0,80.0,79.99511828837181,79.990234375
81.0,81.0,80.99511831986514,80.990234375
82.0,82.0,81.9951183370159,81.990234375
83.0,83.0,82.99511835153427,82.990234375
84.0,84.0,83.99511836377555,83.990234375
85.0,85.0,84.99511837852917,84.990234375
86.0,86.0,85.99511838633619,85.990234375
87.0,87.0,86.99511839277953,86.990234375
88.0,88.0,87.99511839805953,87.990234375
89.0,89.0,88.99511840233471,88.990234375
90.0,90.0,89.99511840719724,89.990234375
91.0,91.0,90.99511840957294,90.990234375
92.0,92.0,91.99511841138452,91.990234375
93.0,93.0,92.99511841272738,92.990234375
94.0,94.0,93.99511841400982,93.990234375
95.0,95.0,94.99511841446669,94.990234375
96.0,96.0,95.99511841467009,95.990234375
97.0,97.0,96.99511841467196,96.990234375
98.0,98.0,97.99511841450236,97.990234375
99.0,99.0,98.99511841399837,98.990234375
100.0,100.0,99.9951184134924,99.990234375
101.0,101.0,100.99511841294806,100.990234375
102.0,102.0,101.9951184123444,101.990234375
103.0,103.0,102.99511841140232,102.990234375
104.0,104.0,103.99511841067607,103.990234375
105.0,105.0,104.99511840996847,104.990234375
106.0,106.0,105.9951184092534,105.990234375
107.0,107.0,106.99511840853633,106.990234375
108.0,108.0,107.9951184075014,107.990234375
109.0,109.0,108.99511840677468,108.990234375
110.0,110.0,109.99511840608525,109.990234375
111.0,111.0,110.99511840541868,110.990234375
112.0,112.0,111.99511840442865,111.990234375
113.0,113.0,112.99511840382046,112.990234375
114.0,114.0,113.99511840321682,113.990234375
115.0,115.0,114.9951184026317,114.990234375
116.0,116.0,115.99511840207802,115.990234375
117.0,117.0,116.99511840127231,116.990234375
118.0,118.0,117.99511840077344,117.990234375
119.0,119.0,118.99511840029511,118.990234375
120.0,120.0,119.99511839983369,119.990234375
121.0,121.0,120.99511839918205,120.990234375
122.0,122.0,121.99511839878048,121.990234375
123.0,123.0,122.99511839839776,122.990234375
124.0,124.0,123.9951183980287,123.990234375
125.0,125.0,124.99511839768435,124.990234375
126.0,126.0,125.99511839719885,125.990234375
127.0,127.0,126.9951183969369,126.990234375
128.0,128.0,127.99511839665395,127.990234375
129.0,129.0,128.99511839638168,128.990234375
130.0,130.0,129.99511839597565,129.990234375
131.0,131.0,130.99511839578025,130.990234375
132.0,132.0,131.9951183955715,131.990234375
133.0,133.0,132.995118395371,132.990234375
134.0,134.0,133.99511839518652,133.990234375
135.0,135.0,134.99511839493843,134.990234375
136.0,136.0,135.99511839477495,135.990234375
137.0,137.0,136.99511839463244,136.990234375
138.0,138.0,137.99511839449494,137.990234375
139.0,139.0,138.99511839431383,138.990234375
140.0,140.0,139.99511839419898,139.990234375
141.0,141.0,140.9951183940526,140.990234375
142.0,142.0,141.99511839399986,141.990234375
143.0,143.0,142.9951183938799,142.990234375
144.0,144.0,143.99511839379886,143.990234375
145.0,145.0,144.99511839369728,144.990234375
146.0,146.0,145.99511839362972,145.990234375
147.0,147.0,146.9951183935736,146.990234375
148.0,148.0,147.99511839347835,147.990234375
149.0,149.0,148.9951183934432,148.990234375
150.0,150.0,149.99511839338706,149.990234375
