,idx,mean_val,std_up,std_down
0,-9.014600618168206,,,
1,-8.714600618168207,,,
2,-8.454200618168226,,,
3,-8.234000618168293,,,
4,-8.053400618168336,,,
5,-7.9130006181683346,,,
6,-7.813200618168329,,,
7,-7.7132006181683295,,,
8,-7.613200618168284,,,
9,-7.513400618168279,,,
10,-7.413400618168279,,,
11,-7.313200618168284,,,
12,-7.212800618168293,,,
13,-7.1128006181682935,,,
14,-7.013000618168289,,,
15,-6.913000618168243,,,
16,-6.814165592984035,,,
17,-6.734565592984008,,,
18,-6.65476559298403,,,
19,-6.574765592984012,,,
20,-6.494565592984044,,,
21,-6.413400618168234,,,
22,-6.314565592984026,,,
23,-6.2343655929840125,,,
24,-6.1591982704382815,,,
25,-6.06954615581018,,,
26,-5.976600243066064,,,
27,-5.878061560171491,,,
28,-5.77964150876454,,,
29,-5.695773806126078,,,
30,-5.645625920754165,,,
31,-5.608319718870231,,,
32,-5.5903261044032755,,,
33,-5.519094041182152,,,
34,-5.445783153622252,,,
35,-5.360163507042883,,,
36,-5.273441913592118,,,
37,-5.190921032365204,,,
38,-5.161738121809071,,,
39,-5.1346639831462015,,,
40,-5.12068362972556,,,
41,-5.10229001525866,,,
42,-5.070326104403202,,,
43,-5.039395174594331,,,
44,-4.9992155824761415,,,
45,-4.925869669732017,,,
46,-4.856617345698405,,,
47,-4.796417345698419,,,
48,-4.729009592612668,27.10371927452071,30.235336693564527,23.972101855476893
49,-4.669974210953662,27.030754794189757,29.832033791689437,24.22947579669008
50,-4.644231919925168,26.998938740246526,29.68179541540634,24.31608206508671
51,-4.629631515097584,26.980893444003346,29.60255325250273,24.359233635503962
52,-4.61988362972567,26.967701374871776,29.551699247448585,24.383703502294967
53,-4.602290015258751,26.899135845485194,29.496450540242478,24.30182115072791
54,-4.57175908544987,26.74056587632889,29.383864257109384,24.097267495548397
55,-4.531447645697323,26.518646684442864,29.241471856133902,23.795821512751825
56,-4.480415582476177,26.175921301881125,28.988287409621325,23.363555194140925
57,-4.409563467848086,25.620134979924085,28.561402663620658,22.678867296227512
58,-4.351384877649702,25.10226845703126,28.096939589449654,22.10759732461287
59,-4.295331186063371,24.547652131574697,27.59521095883461,21.500093304314785
60,-4.243878714960419,24.00084289354662,27.034538798442934,20.967146988650303
61,-4.196957121509712,23.502185390576408,26.532401991694673,20.471968789458142
62,-4.169121032365174,23.20635838035661,26.261162142616733,20.151554618096483
63,-4.143231919925101,22.931222793219224,25.991709139082065,19.870736447356382
64,-4.129031515097507,22.780308514915074,25.852729312532986,19.70788771729716
65,-4.119683629725629,22.68189953418114,25.762802208384493,19.60099685997779
66,-4.106605223176301,22.5700670746789,25.653297736629515,19.486836412728284
67,-4.089926104403194,22.431575688908215,25.516554633934305,19.346596743882124
68,-4.059195174594318,22.284520664325235,25.319906060203095,19.249135268447375
69,-4.028163111373199,22.14088184490372,25.116630512742162,19.16513317706528
70,-3.9892130227624207,21.992174750350546,24.876908001777927,19.107441498923166
71,-3.960465493865359,21.930007446380426,24.73463326676089,19.12538162599996
72,-3.931675400223983,21.889205129785953,24.58401284527423,19.194397414297676
73,-3.912006330032869,21.843046618687893,24.446912073006505,19.23918116436928
74,-3.892006330032841,21.79390004780917,24.299581651483017,19.288218444135325
75,-3.860304304015524,21.68088135780587,24.02858001142241,19.33318270418933
76,-3.8273580347965876,21.562204023665696,23.73123407253946,19.39317397479193
77,-3.7858958044043307,21.412850937956357,23.39542382837407,19.430278047538643
78,-3.7444787149604517,21.263660456618958,23.07555326129115,19.451767651946763
79,-3.7005734134014636,21.105507067262014,22.72494171267032,19.48607242185371
