,idx,mean_val,std_up,std_down
0,-7.687894985856309,,,
1,-7.438094985856305,,,
2,-7.187494985856318,,,
3,-6.936894985856287,,,
4,-6.686894985856287,,,
5,-6.437094985856282,,,
6,-6.187294985856277,,,
7,-5.937494985856272,,,
8,-5.687694985856267,,,
9,-5.437094985856236,,,
10,-5.223208879282275,,,
11,-5.022608879282243,,,
12,-4.831243706454289,,,
13,-4.681643706454325,,,
14,-4.5679575998803585,,,
15,-4.43184370645432,,,
16,-4.290078533626419,,,
17,-4.18164370645437,,,
18,-4.068157599880399,,,
19,-3.952477292157223,,,
20,-3.8592645148137557,,,
21,-3.8016296876416424,,,
22,-3.7341179984088355,,,
23,-3.6562389321548503,,,
24,-3.5723192398780625,,,
25,-3.485165602924365,,,
26,-3.391952825580944,,,
27,-3.311121725235698,,,
28,-3.251886898063622,,,
29,-3.198461315404771,,,
30,-3.1540409059023413,,,
31,-3.1058885104178975,,,
32,-3.0403451934219907,,,
33,-2.960178779124822,,,
34,-2.8838776910141766,19.450106164281866,25.144867544120235,13.755344784443498
35,-2.8109217252357026,19.4740070352039,25.44672749400092,13.50128657640688
36,-2.7524868980635624,19.485744690320754,25.68588308016979,13.285606300471716
37,-2.6990613154047116,19.43209586322536,25.854976069104,13.009215657346719
38,-2.655240905902313,19.347722038721198,25.95950381744492,12.735940259997477
39,-2.6070885104178245,19.21258406361727,26.0305825424113,12.394585584823243
40,-2.5411451934219267,19.029093274757454,26.115846109103842,11.942340440411066
41,-2.460178779124822,18.805490537113354,26.208924242037497,11.40205683218921
42,-2.3844776910141627,18.604761232395195,26.299177320650127,10.910345144140262
43,-2.310921725235702,18.412490020328267,26.379961725944508,10.445018314712026
44,-2.2526868980636032,18.259734482311696,26.44200797895418,10.077460985669214
45,-2.202686898063603,18.006850415350623,26.22030383476604,9.793396995935208
46,-2.1661416231279,17.756765736375918,25.90888417152052,9.604647301231317
47,-2.134567576671773,17.45500036290654,25.44261578381682,9.467384941996258
48,-2.0909451934218857,16.939733638470116,24.643280120741878,9.236187156198355
49,-2.027259086847965,16.13897069941528,23.426216861610083,8.85172453722048
50,-1.9607787791247624,15.276833559718346,22.176840340755657,8.376826778681036
51,-1.8867252955296643,14.30783456084055,20.712171370830113,7.90349775085099
52,-1.8180993419857958,13.397873265638188,19.225869183483546,7.569877347792829
53,-1.7617217252356379,12.653368769022814,17.975010071203446,7.331727466842183
54,-1.725607831809599,12.178579991838998,17.185413895572253,7.17174608810574
55,-1.6916881395328116,11.811387612095896,16.655670402072495,6.967104822119297
56,-1.6661416231278998,11.570747769379182,16.34160555830396,6.799889980454404
57,-1.6341675766717827,11.290352355807576,15.993222068715639,6.587482642899512
58,-1.5903451934219452,10.96502934404993,15.620152468972382,6.309906219127476
59,-1.5262590868479888,10.520532623157106,15.111598569448127,5.929466676866085
60,-1.4595787791247905,10.079061126279123,14.600072388312803,5.558049864245445
61,-1.384925295529707,9.590501455635014,14.00265577681593,5.178347134454098
62,-1.316299341985793,9.151828889493727,13.427504561997388,4.8761532169900645
63,-1.2597217252356852,8.806963991918924,12.950241587518853,4.663686396318993
64,-1.20952172523569,8.558046480137671,12.561920771505354,4.5541721887699875
65,-1.1725764502999965,8.406727314948391,12.29126051990746,4.5221941099893215
66,-1.1393547993283994,8.304327779697806,12.06409970729159,4.544555852104023
67,-1.1024011623746972,8.199267825507722,11.813695006848103,4.584840644167341
68,-1.0589787791248502,8.075761360626963,11.528088307633775,4.623434413620151
69,-1.0294521083553494,7.991739305394264,11.342330033005094,4.641148577783433
70,-0.983677691014227,7.732383558288891,11.012489169966955,4.452277946610827
71,-0.941152825580963,7.4574012605778215,10.684563482614331,4.230239038541312
72,-0.8911528255810085,7.073765103239735,10.281736109668017,3.865794096811453
73,-0.841152825580963,6.617410436238784,9.841952593068932,3.392868279408637
74,-0.7915528255809534,6.154093568191465,9.340661660653733,2.967525475729197
75,-0.7568961425768655,5.851618414152863,9.02126752805878,2.6819693002469465
76,-0.7103217252357166,5.505694497629312,8.613082412265447,2.3983065829931767
77,-0.6737764503000137,5.268222483876836,8.312330078476409,2.224114889277263
78,-0.6409547993283615,5.097761307206754,8.06428003991109,2.131242574502417
79,-0.6040011623746594,4.911596283999523,7.779805917523043,2.0433866504760028
80,-0.5603787791247716,4.691242364325731,7.445297013928146,1.9371877147233167
81,-0.5310521083552662,4.542710462292579,7.223292234946372,1.8621286896387859
82,-0.5002210080100653,4.379132367456707,6.984664969993826,1.7735997649195876
83,-0.4611217252356976,4.1500835592090715,6.689795757081258,1.6103713613368846
84,-0.4235764503000638,3.923347260538265,6.395771941925057,1.4509225791514724
85,-0.39015479932842595,3.7066580728638265,6.134259064418309,1.2790570813093436
86,-0.3530011623747285,3.491710007388446,5.834573537748477,1.1488464770284157
87,-0.30957877912483606,3.2968853514989958,5.509602855235018,1.084167847762973
88,-0.2802521083553306,3.203341012115962,5.315831712554409,1.0908503116775154
89,-0.2496210080100795,3.138767864963002,5.131492964879627,1.146042765046378
90,-0.2107217252356616,3.135180923477408,4.976426788765803,1.293935058189013
91,-0.17377645030001365,3.139683100427094,4.8492260762978034,1.4301401245563843
92,-0.14015479932838049,3.1623643195468127,4.7908748736713695,1.5338537654222562
93,-0.103001162374683,3.147835953172337,4.674066388642867,1.621605517701807
94,-0.05997877912482663,3.046571291820643,4.462831930379437,1.6303106532618492
95,-0.030452108355325868,2.916336207848681,4.258517737962967,1.574154677734396
96,0.0009789919899518052,2.744187394148262,3.9909832926749615,1.497391495621563
97,0.03987827476432423,2.4480353644136517,3.570154000153271,1.3259167286740323
98,0.0770235497000129,2.164541122563002,3.140319620726618,1.1887626243993856
99,0.11064520067169155,1.9063801076724114,2.803644376043635,1.0091158393011876
100,0.14739883762535305,1.6500019219187998,2.40397040340902,0.8960334404285792
101,0.19022122087521412,1.4015528326313036,1.9610438865237736,0.8420617787388335
102,0.22014789164475088,1.2641920888410216,1.7312519503727857,0.7971322273092576
103,0.2511789919899471,1.1429766969318167,1.495219865632687,0.7907335282309464
104,0.276592168190349,1.075059004417225,1.3257988707620407,0.8243191380724093
105,0.310111860467146,1.0309778303014783,1.1794069241144678,0.8825487364884887
106,0.33625837687204324,1.0208798723710748,1.145188995981567,0.8965707487605825
107,0.36743242332813403,1.0224906951517863,1.1380756965636176,0.906905693739955
108,0.399856048047235,1.0342535814898446,1.1524593746400518,0.9160477883396374
109,0.4412212208751905,1.0501169337979577,1.1639181205007736,0.9363157470951419
