,idx,mean_val,std_up,std_down
0,-6.071949053964433,,,
1,-5.7762961872064,,,
2,-5.571949053964433,,,
3,-5.366556941286244,,,
4,-5.230152230092419,,,
5,-5.057135631330093,,,
6,-4.979000335817556,,,
7,-4.896542757865708,,,
8,-4.805482003785883,,,
9,-4.738339581737767,37.460465397468326,48.27971628656513,26.641214508371515
10,-4.706364067821852,36.87476916010314,46.84834284070558,26.901195479500707
11,-4.656935631330188,36.504704614145865,44.949323865586116,28.060085362705614
12,-4.607135631330183,36.94080246177286,44.30722916741263,29.574375756133094
13,-4.529771899325979,39.83705289991669,52.75875837637744,26.91534742345594
14,-4.4549837370553895,42.759997985993714,58.98611161396687,26.533884358020554
15,-4.377718271781736,45.64598270985319,64.01166036704156,27.28030505266483
16,-4.305282003785933,48.20713718707965,68.34754224342876,28.066732130730536
17,-4.237539581737787,50.24600196916612,71.84719861079789,28.644805327534353
18,-4.20536406782183,50.12091088896054,71.30804163745732,28.93378014046375
19,-4.155935631330166,49.444943391133584,69.38373596130688,29.506150820960286
20,-4.106535631330152,48.5271134546214,66.9078459768028,30.146380932439993
21,-4.052188498088183,46.98333427016373,63.26405569552361,30.702612844803856
22,-3.9993018428815654,45.28231087352594,59.069637306150724,31.49498444090115
23,-3.931277356797527,42.65294805590498,53.50284471673606,31.8030513950739
24,-3.8803057932891543,40.56624762434909,49.30182366222762,31.830671586470558
25,-3.829905793289208,38.670631295818566,45.63684477070787,31.704417820929265
26,-3.7846529265311672,37.1555831611468,44.438546906330686,29.872619415962916
27,-3.7373395817377912,35.49416140069472,43.02282781559009,27.965494985799356
28,-3.7061640678218106,34.436620571588634,42.549849715791204,26.323391427386063
29,-3.6571356313301386,32.651727484192,41.344826478510505,23.958628489873497
30,-3.611428810392529,30.953810715219323,39.73862011609489,22.169001314343756
31,-3.574824099198709,29.573324558925588,37.88355382081628,21.263095297034894
32,-3.525024099198704,28.225439946288077,35.740225764162595,20.71065412841356
33,-3.477329556670277,27.103579665325725,33.67743357860304,20.52972575204841
34,-3.4277295566702684,26.467090740056115,32.64871833154179,20.285463148570443
35,-3.3819057932890706,25.86841777795115,31.769411356288845,19.967424199613458
36,-3.3315057932890797,24.955037251299515,30.634656297644245,19.275418204954786
37,-3.2852529265310624,23.917435251374705,29.480718786639972,18.35415171610944
38,-3.2375395817376953,22.86110382493664,28.09838228558874,17.623825364284542
39,-3.2051640678217885,21.99622718002162,26.480416886846005,17.512037473197235
40,-3.155735631330171,20.96943448249356,24.575728666823167,17.363140298163955
41,-3.1108288103925883,20.356000215065897,23.25836497511282,17.453635455018976
42,-3.0746240991987586,20.140361621873122,23.19762898364237,17.083094260103874
43,-3.0252240991987445,19.92187132655873,23.240686062163885,16.603056590953575
44,-2.978329556670299,19.760384978214496,23.396630811003124,16.12413914542587
45,-2.9279295566703087,19.718164532126956,23.63004298778022,15.806286076473691
46,-2.8813057932891306,19.632863687940567,23.748973792409124,15.516753583472008
47,-2.83130579328913,19.42538058798155,23.686938260461197,15.163822915501903
48,-2.785252926531108,19.344307446491207,24.01628882764679,14.672326065335625
49,-2.7379395817377317,19.289530501900877,24.426775413885892,14.152285589915865
50,-2.70596406782177,19.328063028184978,24.96231726641058,13.693808789959375
51,-2.656135631330162,19.555841691134056,25.97512685607052,13.136556526197591
52,-2.6108288103925887,19.943436227624524,27.114341899930945,12.772530555318102
53,-2.5746240991987586,20.353999448407855,28.12157819462779,12.586420702187919
54,-2.5244240991987636,20.577990197681633,28.41491141223791,12.741068983125356
55,-2.4775295566703184,20.752547082276624,28.531670392695116,12.973423771858133
56,-2.445354042754316,20.70808564238418,28.16497526879752,13.25119601597084
57,-2.39930184288152,20.376514208066034,27.609061885477626,13.143966530654442
58,-2.3569712585628233,19.94074717519213,26.828262583464713,13.053231766919545
59,-2.324913680610966,19.539196640333223,26.679901112910724,12.398492167755723
60,-2.2811474690595768,19.303381913786758,26.769683553971916,11.8370802736016
61,-2.2369395817378006,19.14739457405638,26.970391138941835,11.324398009170928
