A,N*,N1,N2
0.2,0.15037593984962405,0.13479977588019998,0.13084468984962405
0.4,0.3007518796992481,0.2746193543770836,0.2714550046992481
0.6,0.45112781954887216,0.41428973496421606,0.41206531954887216
0.8,0.6015037593984962,0.5539882652271044,0.5526756343984962
1.0,0.7518796992481203,0.6935692826131201,0.6932859492481203
1.2,0.9022556390977443,0.8332680429220396,0.8338962640977443
1.4,1.0526315789473684,0.9730326851069393,0.9745065789473684
1.6,1.2030075187969924,1.1126577648718816,1.1151168937969924
1.8,1.3533834586466165,1.2523248777207119,1.2557272086466165
2.0,1.5037593984962405,1.3922362697593782,1.3963375234962405
2.2,1.6541353383458648,1.532044662291612,1.5271822133458648
2.4,1.8045112781954886,1.6717495097987878,1.6677925281954886
2.6,1.9548872180451127,1.8113134595057578,1.8084028430451127
2.8,2.1052631578947367,1.9510431818719776,1.9490131578947367
3.0,2.255639097744361,2.0906335560070812,2.089623472744361
3.2,2.406015037593985,2.2305388911362813,2.230233787593985
3.4,2.5563909774436087,2.3702107148937186,2.3708441024436087
3.6,2.706766917293233,2.5098334312020407,2.511454417293233
3.8,2.8571428571428568,2.649656332050898,2.6520647321428568
4.0,3.007518796992481,2.7894926887356633,2.792675046992481
4.2,3.1578947368421053,2.929217366548838,2.9332853618421053
4.4,3.3082706766917296,3.0690264205816637,3.0641300516917296
4.6,3.458646616541353,3.208469131943912,3.204740366541353
4.8,3.6090225563909772,3.348441623784205,3.3453506813909772
5.0,3.7593984962406015,3.488162709528494,3.4859609962406015
5.5,4.135338345864661,3.8374612783058,3.8326039708646613
6.0,4.511278195488722,4.186788041428612,4.189012570488722
6.5,4.887218045112782,4.536100240061566,4.535655545112782
7.0,5.263157894736842,4.885336903316877,4.882298519736842
7.5,5.639097744360902,5.23473110036223,5.228941494360902
8.0,6.015037593984962,5.584115281749938,5.585350093984962
8.5,6.390977443609022,5.933545139774081,5.931993068609022
9.0,6.7669172932330826,6.282970979434877,6.2786360432330826
9.5,7.142857142857142,6.632233161760286,6.635044642857142
10.0,7.518796992481203,6.981740671652224,6.981687617481203
10.5,7.894736842105263,7.331289937051572,7.328330592105263
11.0,8.270676691729323,7.680727466255464,7.674973566729323
11.5,8.646616541353383,8.029849280334009,8.031382166353383
12.0,9.022556390977444,8.37961857896096,8.378025140977444
12.5,9.398496240601503,8.728977628530092,8.724668115601503
13.0,9.774436090225564,9.078403316095873,9.071311090225564
13.5,10.150375939849624,9.427758933379495,9.427719689849624
14.0,10.526315789473683,9.777402296988958,9.774362664473683
14.5,10.902255639097744,10.127074096476083,10.121005639097744
15.0,11.278195488721805,10.476448877806366,10.477414238721805
15.5,11.654135338345863,10.825818929016883,10.824057213345863
16.0,12.030075187969924,11.175542883648152,11.170700187969924
16.5,12.406015037593985,11.5250911760792,11.517343162593985
17.0,12.781954887218044,11.87452310610175,11.873751762218044
17.5,13.157894736842104,12.22403394286173,12.220394736842104
18.0,13.533834586466165,12.573754810949184,12.567037711466165
18.5,13.909774436090224,12.923316223582683,12.923446311090224
19.0,14.285714285714285,13.272990409039489,13.270089285714285
19.5,14.661654135338345,13.622566720456868,13.616732260338345
20.0,15.037593984962406,13.972044612444117,13.963375234962406
20.5,15.413533834586465,14.321767421232176,14.319783834586465
21.0,15.789473684210526,14.671690054882411,14.666426809210526
21.5,16.165413533834585,15.021193324298691,15.013069783834585
22.0,16.541353383458645,15.37054199967674,15.359712758458645
22.5,16.917293233082706,15.72081254548489,15.716121358082706
23.0,17.293233082706767,16.070358445701824,16.062764332706767
23.5,17.669172932330827,16.420150785192707,16.409407307330827
24.0,18.045112781954888,16.769736788350336,16.765815906954888
24.5,18.421052631578945,17.11956104162692,17.112458881578945
25.0,18.796992481203006,17.46927299581695,17.459101856203006
26.0,19.548872180451127,18.168991491545402,18.162153430451127
27.0,20.30075187969925,18.8689292280226,18.85543937969925
28.0,21.052631578947366,19.568543442366597,19.558490953947366
29.0,21.804511278195488,20.268471658330835,20.261542528195488
30.0,22.55639097744361,20.968599107142275,20.95482847744361
31.0,23.308270676691727,21.668440545499877,21.657880051691727
32.0,24.06015037593985,22.368622286085824,22.36093162593985
33.0,24.81203007518797,23.069369802165994,23.05421757518797
34.0,25.563909774436087,23.769540096475335,23.757269149436087
35.0,26.31578947368421,24.470276367810513,24.46032072368421
36.0,27.06766917293233,25.170947172216103,25.15360667293233
37.0,27.819548872180448,25.87208008347498,25.856658247180448
38.0,28.57142857142857,26.573367809110977,26.55970982142857
39.0,29.32330827067669,27.2746734543651,27.25299577067669
40.0,30.075187969924812,27.976605529745527,27.956047344924812
41.0,30.82706766917293,28.678535615923895,28.65909891917293
42.0,31.57894736842105,29.38035882028312,29.36215049342105
43.0,32.33082706766917,30.08274098625655,30.06520206766917
44.0,33.08270676691729,30.786035693201022,30.76825364191729
45.0,33.83458646616541,31.48854880131185,31.461539591165412
46.0,34.58646616541353,32.192882211493746,32.16459116541353
47.0,35.338345864661655,32.896564518458284,32.867642739661655
48.0,36.090225563909776,33.60113774967734,33.570694313909776
49.0,36.84210526315789,34.30600479843177,34.27374588815789
50.0,37.59398496240601,35.01145275813188,34.97679746240601
51.0,38.34586466165413,35.71780463665003,35.68961466165413
52.0,39.097744360902254,36.42490279967561,36.392666235902254
53.0,39.849624060150376,37.13254488933386,37.095717810150376
54.0,40.6015037593985,37.84012293710181,37.8085350093985
55.0,41.35338345864661,38.5501417459554,38.51158658364661
56.0,42.10526315789473,39.259751775126176,39.22440378289473
57.0,42.857142857142854,39.970378699545996,39.927455357142854
58.0,43.609022556390975,40.6823016333112,40.640272556390975
59.0,44.3609022556391,41.39386725416919,41.3628553806391
60.0,45.11278195488722,42.10703925510681,42.07567257988722
61.0,45.86466165413533,42.81970424924331,42.79825540413533
62.0,46.616541353383454,43.53303499455706,43.520838228383454
63.0,47.368421052631575,44.24603072104532,44.243421052631575
64.0,48.1203007518797,44.95584834042628,44.9757695018797
65.0,48.87218045112782,45.66561802046771,45.71788357612782
66.0,49.62406015037594,46.37417719577809,46.46976327537594
67.0,50.37593984962406,47.07720636569256,47.23140859962406
68.0,51.127819548872175,47.77809474554513,48.002819548872175
69.0,51.879699248120296,48.477107176408936,48.793761748120296
70.0,52.63157894736842,49.17488887611078,49.60423519736842
71.0,53.38345864661654,49.874975254549355,50.42447427161654
72.0,54.13533834586466,50.576803637810784,51.23494772086466
73.0,54.88721804511278,51.28006110917563,52.04542117011278
74.0,55.639097744360896,51.98565603236957,52.836363369360896
75.0,56.39097744360902,52.68795297555808,53.60777431860902
76.0,57.14285714285714,53.39468306604722,54.36941964285714
77.0,57.89473684210526,54.101843427405484,55.12129934210526
78.0,58.64661654135338,54.80682210573757,55.87317904135338
79.0,59.3984962406015,55.51242318330121,56.6055274906015
80.0,60.150375939849624,56.220937819666844,57.337875939849624
81.0,60.90225563909774,56.927605142664405,58.07022438909774
82.0,61.65413533834586,57.63849696560632,58.80257283834586
83.0,62.40601503759398,58.34599478387226,59.52515566259398
84.0,63.1578947368421,59.05535441144208,60.2477384868421
85.0,63.909774436090224,59.76454548688812,60.960555686090224
86.0,64.66165413533834,60.4755334811789,61.68313851033834
87.0,65.41353383458646,61.18821122415629,62.39595570958646
88.0,66.16541353383458,61.90254941460594,63.10877290883458
89.0,66.9172932330827,62.61640601798342,63.8313557330827
90.0,67.66917293233082,63.32877419847098,64.54417293233082
91.0,68.42105263157895,64.04789595488401,65.25699013157895
92.0,69.17293233082707,64.7651193900699,65.96004170582707
93.0,69.92481203007519,65.48805374577567,66.67285890507519
94.0,70.67669172932331,66.20123931434003,67.38567610432331
95.0,71.42857142857143,66.93233763733684,68.09849330357143
96.0,72.18045112781955,67.65310812736826,68.81131050281955
97.0,72.93233082706766,68.3834797093815,69.51436207706766
98.0,73.68421052631578,69.11129576550925,70.22717927631578
99.0,74.4360902255639,69.84656264933702,70.9399964755639
100.0,75.18796992481202,70.5898499835459,71.64304804981202
101.0,75.93984962406014,71.31636620962372,72.35586524906014
102.0,76.69172932330827,73.14994146570838,73.06868244830827
103.0,77.44360902255639,73.900471574901,73.77173402255639
104.0,78.19548872180451,74.6249389644586,74.48455122180451
105.0,78.94736842105263,75.3488472789816,75.19736842105263
106.0,79.69924812030075,76.07393903553758,75.91018562030075
107.0,80.45112781954887,76.79967455363594,76.62300281954887
108.0,81.203007518797,77.52603907805582,77.326054393797
109.0,81.9548872180451,78.2540254226275,78.0388715930451
110.0,82.70676691729322,78.98272211863994,78.76145441729322
111.0,83.45864661654134,79.71169180384345,79.47427161654134
112.0,84.21052631578947,80.44199255004996,80.18708881578947
113.0,84.96240601503759,81.17289389727257,80.89990601503759
114.0,85.71428571428571,81.90377388547998,81.62248883928571
115.0,86.46616541353383,82.63505735853174,82.34507166353383
