A,N*,N1,N2
133.0,133.0,132.99511884216074,133.0
134.0,134.0,133.99511884196352,134.0
135.0,135.0,134.99511884170195,135.0
136.0,136.0,135.9951188415325,136.0
137.0,137.0,136.99511884137672,137.0
138.0,138.0,137.99511884123183,138.0
139.0,139.0,138.99511884104362,139.0
140.0,140.0,139.99511884090657,140.0
141.0,141.0,140.9951188408015,141.0
142.0,142.0,141.99511884069298,142.0
143.0,143.0,142.99511884055255,143.0
144.0,144.0,143.99511884047052,144.0
145.0,145.0,144.9951188403366,145.0
146.0,146.0,145.99511884026276,146.0
147.0,147.0,146.99511884019134,147.0
148.0,148.0,147.99511884012975,148.0
149.0,149.0,148.99511884003124,149.0
150.0,150.0,149.99511883997744,150.0
