A,N*,N1,N2
29.0,29.0,28.995078357125706,29.0
30.0,30.0,29.995079873233006,30.0
31.0,31.0,30.99508221197047,31.0
32.0,32.0,31.99508380126974,32.0
33.0,33.0,32.99508540494926,33.0
34.0,34.0,33.99508701467142,34.0
35.0,35.0,34.995088622495274,35.0
36.0,36.0,35.99509101439925,36.0
37.0,37.0,36.99509258516572,37.0
38.0,38.0,37.995094129678144,38.0
39.0,39.0,38.99509564188587,39.0
40.0,40.0,39.99509783837245,40.0
41.0,41.0,40.99509924757905,41.0
42.0,42.0,41.99510060864156,42.0
43.0,43.0,42.99510191808377,43.0
44.0,44.0,43.99510317324292,44.0
45.0,45.0,44.995104950116435,45.0
46.0,46.0,45.995106061398076,46.0
47.0,47.0,46.99510711382371,47.0
48.0,48.0,47.995108106856875,48.0
49.0,49.0,48.99510948596436,49.0
50.0,50.0,49.995110332001786,50.0
51.0,51.0,50.995111121456326,51.0
52.0,52.0,51.99511185546468,52.0
53.0,53.0,52.99511253577215,53.0
54.0,54.0,53.99511345906197,54.0
55.0,55.0,54.99511401495028,55.0
56.0,56.0,55.99511452389791,56.0
57.0,57.0,56.99511498918501,57.0
58.0,58.0,57.99511560994351,58.0
59.0,59.0,58.99511597709168,59.0
60.0,60.0,59.995116309282665,60.0
61.0,61.0,60.995116609041084,61.0
62.0,62.0,61.99511687877361,62.0
63.0,63.0,62.99511723208427,63.0
64.0,64.0,63.99511743677406,64.0
65.0,65.0,64.99511761914533,65.0
66.0,66.0,65.99511778120616,66.0
67.0,67.0,66.99511799025409,67.0
68.0,68.0,67.99511810951515,68.0
69.0,69.0,68.99511821445581,69.0
70.0,70.0,69.99511830657657,70.0
71.0,71.0,70.99511838721487,71.0
72.0,72.0,71.99511848930175,72.0
73.0,73.0,72.99511854642714,73.0
74.0,74.0,73.99511859592309,74.0
75.0,75.0,74.99511863868364,75.0
76.0,76.0,75.99511869193726,76.0
77.0,77.0,76.99511872121424,77.0
78.0,78.0,77.99511874621493,78.0
79.0,79.0,78.9951187674906,79.0
80.0,80.0,79.99511878552369,80.0
81.0,81.0,80.9951188074027,81.0
82.0,82.0,81.99511881908869,82.0
83.0,83.0,82.99511882881593,83.0
84.0,84.0,83.99511883686475,84.0
85.0,85.0,84.99511884629946,85.0
86.0,86.0,85.99511885112179,86.0
87.0,87.0,86.99511885497769,87.0
88.0,88.0,87.99511885801253,88.0
89.0,89.0,88.99511886034772,89.0
90.0,90.0,89.99511886278529,90.0
91.0,91.0,90.99511886382226,91.0
92.0,92.0,91.99511886448542,92.0
93.0,93.0,92.99511886483572,93.0
94.0,94.0,93.99511886490464,94.0
95.0,95.0,94.99511886469173,95.0
96.0,96.0,95.99511886433243,96.0
97.0,97.0,96.99511886384822,97.0
98.0,98.0,97.99511886326493,98.0
99.0,99.0,98.99511886225957,99.0
100.0,100.0,99.99511886151491,100.0
101.0,101.0,100.99511886073861,101.0
102.0,102.0,101.99511885993714,102.0
103.0,103.0,102.9951188587238,103.0
104.0,104.0,103.99511885785412,104.0
105.0,105.0,104.99511885704716,105.0
106.0,106.0,105.99511885623838,106.0
107.0,107.0,106.9951188554467,107.0
108.0,108.0,107.99511885432466,108.0
109.0,109.0,108.99511885352975,109.0
110.0,110.0,109.99511885279921,110.0
111.0,111.0,110.99511885209422,111.0
112.0,112.0,111.99511885109969,112.0
113.0,113.0,112.99511885041687,113.0
114.0,114.0,113.99511884978891,114.0
115.0,115.0,114.9951188491866,115.0
116.0,116.0,115.99511884861064,116.0
117.0,117.0,116.99511884777448,117.0
118.0,118.0,117.99511884727231,118.0
119.0,119.0,118.99511884676986,119.0
120.0,120.0,119.99511884629796,120.0
121.0,121.0,120.9951188456189,121.0
122.0,122.0,121.99511884521092,122.0
123.0,123.0,122.99511884481345,123.0
124.0,124.0,123.99511884442784,124.0
125.0,125.0,124.99511884407228,125.0
126.0,126.0,125.99511884356536,126.0
127.0,127.0,126.99511884326235,127.0
128.0,128.0,127.99511884300155,128.0
129.0,129.0,128.99511884272115,129.0
130.0,130.0,129.99511884229335,130.0
131.0,131.0,130.9951188420936,131.0
132.0,132.0,131.99511884186668,132.0
133.0,133.0,132.99511884165068,133.0
134.0,134.0,133.995118841446,134.0
135.0,135.0,134.99511884118255,135.0
136.0,136.0,135.99511884100497,136.0
137.0,137.0,136.99511884084123,137.0
138.0,138.0,137.9951188406894,138.0
139.0,139.0,138.9951188404958,139.0
140.0,140.0,139.99511884035752,140.0
141.0,141.0,140.99511884024267,141.0
142.0,142.0,141.99511884013023,142.0
143.0,143.0,142.99511883998707,143.0
144.0,144.0,143.99511883988978,144.0
145.0,145.0,144.9951188397597,145.0
146.0,146.0,145.99511883967514,146.0
147.0,147.0,146.99511883960403,147.0
148.0,148.0,147.99511883952985,148.0
149.0,149.0,148.99511883943183,149.0
150.0,150.0,149.99511883937237,150.0
