,idx,mean_val,std_up,std_down
107,-1.1584662900322629,9.567743292615907,12.011769701618885,7.1237168836129285
108,-1.1295453791718637,9.39983843685187,11.761680511740426,7.037996361963312
109,-1.1049338977871432,9.292453313043548,11.55896740318303,7.025939222904069
110,-1.0836777602139016,9.197735572089863,11.393644900988544,7.001826243191182
111,-1.0674532473250562,9.122494081331979,11.283320667425265,6.961667495238693
112,-1.0558327437265367,9.0539801939964,11.206807208910288,6.901153179082513
113,-1.0367741581854548,8.929898958973977,11.064683255275808,6.795114662672146
114,-1.0172698290509676,8.7871563540396,10.905906447480511,6.66840626059869
115,-0.9914404952448779,8.577897636555774,10.683284516629527,6.47251075648202
116,-0.9660013152950366,8.362965589926173,10.439214919418841,6.286716260433504
117,-0.9379523265093754,8.098483278784517,10.137186845082443,6.059779712486591
118,-0.9179523265093934,7.892515505792772,9.900519353872914,5.884511657712629
119,-0.8972566556438764,7.683839548127186,9.652409279878215,5.715269816376157
120,-0.8789357447834993,7.502711078355144,9.436514873319762,5.568907283390527
121,-0.860599437622195,7.3250216481027,9.2137575588365,5.4362857373689
122,-0.8461064071025609,7.201833951529334,9.059368337196352,5.3442995658623165
123,-0.8301152373101178,7.0691119117444305,8.886208773232518,5.252015050256344
124,-0.8166817022074419,6.965611073680269,8.754861519632845,5.176360627727693
125,-0.8070231166663199,6.899687182687314,8.673998124360603,5.125376241014026
126,-0.7968812146871469,6.836766882131107,8.594980032294263,5.078553731967951
127,-0.7841961225392586,6.7648683765103055,8.503267469687346,5.026469283333265
128,-0.7683667887331597,6.67711664866923,8.390318852893774,4.963914444444687
129,-0.7468118052205559,6.54946806010447,8.237721360058938,4.861214760150002
130,-0.7216003238358495,6.378646889441479,8.03689899920806,4.7203947796748995
131,-0.6980276971943999,6.214633526528847,7.83170257360203,4.597564479455665
132,-0.6732548086475656,6.013123466483861,7.5903407145715684,4.435906218396153
133,-0.6450753122461167,5.754872130622065,7.297163759249843,4.212580501994287
134,-0.6245338977871798,5.546318654061106,7.049657594448398,4.042979713673814
135,-0.6031542093794847,5.331096153186681,6.810760211396543,3.851432094976819
136,-0.5804442251112573,5.103482955349084,6.531149897382631,3.675816013315536
137,-0.5602442251112801,4.903731757432396,6.294966939832213,3.5124965750325803
138,-0.5402442251112529,4.733995619965901,6.106648107584132,3.36134313234767
139,-0.5158698290510009,4.542321438221812,5.875420760386396,3.209222116057228
140,-0.4970495174586915,4.407652477102199,5.705713689034683,3.1095912651697155
141,-0.47870336415364534,4.28289664083843,5.536360766210558,3.0294325154663024
142,-0.46247885126479993,4.185438727000022,5.394414962784147,2.976462491215898
143,-0.45065834766623974,4.123247607049021,5.304455432213224,2.9420397818848176
144,-0.4414899617481961,4.073677757905389,5.233275781350612,2.9140797344601665
145,-0.42690144313288875,3.9918691218558577,5.121841582194482,2.8618966615172337
146,-0.41322312054114185,3.9139309727878193,5.012181468967908,2.8156804766077306
147,-0.3948769672360958,3.799154507753636,4.863521353822812,2.73478766168446
148,-0.37825245434725974,3.687156430129282,4.7206378361833625,2.653675024075201
149,-0.36159523632556034,3.5705655852535845,4.572014274915392,2.569116895591777
150,-0.3497747327270456,3.4795955719161946,4.461821158112125,2.4973699857202645
151,-0.33568170220740184,3.378329352403746,4.33567258665147,2.420986118156022
152,-0.322272871999858,3.2953580101719107,4.263124362569998,2.327591657773823
153,-0.3091554829095299,3.2223386168641306,4.2059286143207215,2.2387486194075397
154,-0.2944854159837239,3.154824462583948,4.174497999701151,2.1351509254667453
155,-0.2797147497898188,3.0921397195878995,4.152174727705038,2.032104711470761
156,-0.2668296576419353,3.0396666742634073,4.140504280600403,1.9388290679264115
157,-0.2583846411545209,3.0120299972454085,4.147422867297459,1.876637127193358
158,-0.2479265431336807,2.983477859096347,4.168578474905448,1.7983772432872456
159,-0.2333380245184188,2.8880544976156033,4.050730209307642,1.7253787859235645
160,-0.214794162091692,2.7435346967601535,3.8630186528470443,1.624050740673263
161,-0.19525060735097993,2.5837907777358478,3.6371739549281985,1.5304076005434968
162,-0.1754506073509934,2.4112425325370967,3.3632021503631453,1.4592829147110482
163,-0.1554506073510116,2.206288000986331,2.9943315816707035,1.4182444203019582
164,-0.1354506073509843,2.0321245240441828,2.777225806484986,1.2870232416033793
165,-0.11984422511123505,1.9037506655831122,2.644580024407238,1.1629213067589865
166,-0.10162391351891162,1.7493005826200165,2.5241727923276285,0.9744283729124045
167,-0.08307776021382476,1.5917938254536235,2.403415227315005,0.7801724235922423
168,-0.0668532473249793,1.4621065238004183,2.3191292706795625,0.6050837769212742
169,-0.05483274372646933,1.3534678154165807,2.3001861919258904,0.4067494389072708
170,-0.0355741581853924,1.2101819720090603,2.327903542995399,0.09246040102272168
171,-0.015669829050914564,1.1352084012033157,2.3039311651687813,-0.033514362762149696
172,0.004330170949067247,1.0879812666569852,2.2723704913142795,-0.09640795800030921
173,0.024530170949044326,1.0576526110085889,2.2305535956378764,-0.11524837362069884
174,0.044530170949071614,1.0686733310245764,2.1699367588848615,-0.03259009683570846
175,0.05861436738634067,1.1272327583629118,2.029640039973236,0.2248254767525879
176,0.07389855686713784,1.1823491411536822,1.9304220906671898,0.4342761916401745
177,0.08777687945892539,1.2266255073119898,1.8239832028832355,0.6292678117407442
178,0.1047433443562582,1.260058619880941,1.7035059591692123,0.8166112805926695
179,0.11971401055011303,1.2792248019775545,1.6206903340084213,0.9377592699466877
180,0.13407483060024014,1.291411909893219,1.5542961370943134,1.0285276826921248
181,0.14481624505913593,1.2792495288624126,1.537525183783388,1.0209738739414371
182,0.15616725627349792,1.2670261208328992,1.5196387038194121,1.0144135378463863
183,0.16551829779261523,1.2571822557594063,1.5060023590478677,1.008362152470945
184,0.17872712800020932,1.2437793157887318,1.4886040638378986,0.998954567739565
185,0.19244451709052326,1.230895265871693,1.470878492606212,0.990912039137174
186,0.20809427242400647,1.2183187239532538,1.45221452815517,0.9844229197513376
187,0.22392138387712163,1.2055512019480803,1.4313841581765938,0.9797182457195668
188,0.23760387746072603,1.1950281800697748,1.4126680518898322,0.9773883082497175
189,0.24834529191962185,1.1880928817933825,1.3954733531907888,0.9807124103959761
190,0.2661828863419026,1.1762778697053016,1.365586426117801,0.986969313292802
191,0.2842031979342308,1.1646515053590039,1.3340585510926237,0.9952444596253839
192,0.3010906151017162,1.1543433711116444,1.3034161221833898,1.005270620039899
193,0.3196367684067122,1.1433269639189643,1.2690308937218202,1.0176230341161083
194,0.33734037043521253,1.1344084882330308,1.2377120331654075,1.031104943300654
195,0.3480817848941083,1.1320278717526635,1.2277986700315595,1.0362570734737675
196,0.3652908071079205,1.1349480086890062,1.2253642094971804,1.044531807880832
197,0.38714694468119343,1.138948172169538,1.222596468694973,1.055299875644103
198,0.40860079137616107,1.1444462591505757,1.2211412291104728,1.0677512891906786
199,0.43089718934766974,1.1500231045551599,1.2190058432822999,1.0810403658280199
200,0.46447158540797717,1.1578837270411868,1.217000483837036,1.0987669702453375
201,0.4892422516018732,1.1633195157681502,1.2166144328080324,1.110024598728268
202,0.5110960982968313,1.1682943372628092,1.2168836100871285,1.1197050644384898
203,0.5326510818094352,1.1733412847064428,1.2170643059967856,1.1296182634161
204,0.552651081809417,1.178025159905798,1.2170673111886945,1.1389830086229016
205,0.5622194677274512,1.1803824787360149,1.2189754184436428,1.141789539028387
206,0.5756977903192027,1.1830356517008933,1.2218742895499863,1.1441970138518003
207,0.5940439436242488,1.185550019868696,1.2240967084828553,1.1470033312545365
208,0.6124889601116541,1.187160655274056,1.2259083838081997,1.1484129267399121
209,0.6322889601116408,1.1879962819146195,1.2277831074186523,1.1482094564105867
210,0.6498252672729639,1.1881190036751128,1.2291677799721077,1.147070227378118
211,0.6639182977926076,1.1865229524842487,1.2300810685364416,1.1429648364320557
212,0.6792895335779028,1.1821782284031919,1.235011919948241,1.1293445368581427
213,0.6976921321422281,1.176904723583797,1.241353293738399,1.112456153429195
214,0.7141418874757834,1.1721302831050917,1.2459561502471486,1.0983044159630349
215,0.7309664003646146,1.1675441530072326,1.2491817805404954,1.0859065254739697
216,0.7479452919196768,1.1637827844994588,1.2514902738525904,1.0760752951463273
217,0.7653828863419216,1.1624277465190347,1.2520814831813443,1.072774009856725
218,0.7831467526749297,1.1623958245876795,1.250843594530618,1.073948054644741
219,0.8014906151016612,1.1624614273993337,1.2493843455016431,1.0755385092970242
220,0.8198367684067074,1.1625087789959143,1.2478954910498292,1.0771220669419994
221,0.8373403704352125,1.1625211859488904,1.2464333874562583,1.0786089844415225
222,0.8486817848940941,1.162446632437415,1.2454055190209592,1.0794877458538708
223,0.8654908071079159,1.1623700852659566,1.2439438231398825,1.0807963473920308
224,0.8865469446812076,1.162408315075703,1.2422235634291556,1.0825930667222503
225,0.9084007913761658,1.1624866496006634,1.2404573958760814,1.0845159033252454
226,0.9306971893476745,1.1626158043348362,1.238710436057553,1.0865211726121196
227,0.9644715854079772,1.1629885305585823,1.23642109448358,1.0895559666335846
228,0.9896422516018637,1.1634339549905308,1.2349516502190243,1.0919162597620373
229,1.0112960982967811,1.163807418765743,1.2337185577316343,1.0938962797998517
230,1.0324510818093944,1.164178290801305,1.232494383826849,1.095862197775761
231,1.0524510818094217,1.1645422034927677,1.2313311793829569,1.0977532276025785
232,1.0616194677275108,1.164749759042309,1.2308366199395224,1.0986628981450957
233,1.0754977903192984,1.1651268891924054,1.2301877856464922,1.1000659927383185
234,1.0938439436243446,1.1658746198521481,1.2296778582645265,1.1020713814397698
235,1.1126889601117402,1.1666441873151345,1.2293140680382477,1.1039743065920213
236,1.132488960111727,1.1674411527313175,1.2291141593169281,1.105768146145707
237,1.1500252672730045,1.1681788624757354,1.22909010453755,1.107267620413921
238,1.1637182977926124,1.1687845010354398,1.22948354656077,1.1080854555101096
239,1.1792895335779028,1.1691811000748455,1.2302600523247924,1.1081021478248987
240,1.197635686882949,1.1696408433218848,1.2311741734051809,1.1081075132385887
241,1.2143418874757332,1.1700523149469007,1.2320033739645742,1.1081012559292271
242,1.2313664003645597,1.1704592853159468,1.2328291189927179,1.1080894516391757
243,1.2481452919196268,1.1708340553606165,1.2336078831863349,1.108060227534898
244,1.265582886341917,1.171134316177388,1.2343117617547326,1.1079568706000433
245,1.2840031979342357,1.171398078921206,1.2349928773617949,1.107803280480617
246,1.3018906151017426,1.1716489322763604,1.2356407699374574,1.1076570946152633
247,1.3200367684067937,1.1719030193598492,1.2362975598052335,1.107508478914465
248,1.3375403704352986,1.1721908610949772,1.2368818445943688,1.1074998775955855
249,1.3486817848942305,1.1724418537537589,1.237178328654439,1.1077053788530786
250,1.3650908071080163,1.1730205491465817,1.2373972257052663,1.108643872587897
251,1.3861469446812626,1.1738462578947402,1.237708457894111,1.1099840578953692
252,1.4076007913762303,1.1747309427997121,1.2380055400447085,1.1114563455547157
253,1.429897189347739,1.1756710004229056,1.2383493945642472,1.112992606281564
254,1.4638715854079913,1.177170294559094,1.2390840250108026,1.1152565641073855
255,1.4920510818094403,1.1785428053451181,1.2399017450132037,1.1171838656770325
256,1.516601326475916,1.1797232163324751,1.2406486120656874,1.1187978205992628
257,1.5422405064257525,1.1809633734466625,1.241419388004793,1.120507358888532
258,1.5715685843510734,1.18233494739544,1.2421819441167463,1.1224879506741339
259,1.597794188290807,1.1835798913829383,1.2428416984842536,1.124318084281623
260,1.6198146918893535,1.1845883978780178,1.2433209886087588,1.1258558071472768
261,1.6434358003342406,1.1855440688782715,1.2437251955270823,1.1273629422294607
262,1.6665427736894138,1.1863667630045713,1.2440218522968478,1.1287116737122949
263,1.6847182977925705,1.1869391925413009,1.244238488422144,1.1296398966604577
264,1.6959392889113623,1.1870084796006246,1.2441928708362868,1.1298240883649624
265,1.7115664003645275,1.1870560790524012,1.2441206331275463,1.129991524977256
266,1.727745291919654,1.1871457231009694,1.2441372194554656,1.1301542267464733
267,1.7509541221272393,1.1873611088226435,1.24440589778431,1.130316319860977
268,1.7771205870245819,1.187440455429869,1.2445561172842277,1.1303247935755103
269,1.7996932136660546,1.1874952549095,1.2447181259196571,1.1302723838993427
270,1.8231870130732748,1.1873462781776931,1.2447707077322157,1.1299218486231706
271,1.8544661022129076,1.1868237824653851,1.244730771554289,1.1289167933764812
272,1.8810572720053726,1.1861252686771928,1.2444768886720528,1.1277736486823329
273,1.9048908071080302,1.1855208276919833,1.2443766440620618,1.1266650113219048
274,1.931097189347756,1.1848665979349617,1.2443326097667797,1.1254005861031438
