A,N*,N1,N2
0.2,0.2,0.19511816383372943,0.2
0.4,0.4,0.3952513076292937,0.4
0.6,0.6,0.5952564177531033,0.6
0.8,0.8,0.7952634788814354,0.8
1.0,1.0,0.9952676980649191,1.0
1.2,1.2,1.1952714545526366,1.2
1.4,1.4,1.3952746867080998,1.4
1.6,1.6,1.5952784257531925,1.6
1.8,1.8,1.7952801039238482,1.8
2.0,2.0,1.9952810828844718,2.0
2.2,2.2,2.1952813339037562,2.2
2.4,2.4,2.3952808412149795,2.4
2.6,2.6,2.595278705304297,2.6
2.8,2.8,2.795276368775281,2.8
3.0,3.0,2.9952733342290925,3.0
3.2,3.2,3.195269640230109,3.2
3.4,3.4,3.395262965677426,3.4
3.6,3.6,3.5952578474246826,3.6
3.8,3.8,3.795252256868665,3.8
4.0,4.0,3.9952462662732797,4.0
4.2,4.2,4.19523993847237,4.2
4.4,4.4,4.395229956473111,4.4
4.6,4.6,4.595223070223176,4.6
4.8,4.8,4.795216063985141,4.8
5.0,5.0,4.995208997218708,5.0
5.5,5.5,5.495198397648782,5.5
6.0,6.0,5.9951913980387275,6.0
6.5,6.5,6.495184501049147,6.5
7.0,7.0,6.995177741094789,7.0
7.5,7.5,7.495171148020643,7.5
8.0,8.0,7.995161623926884,8.0
8.5,8.5,8.495155544944744,8.5
9.0,9.0,8.995149698183706,9.0
9.5,9.5,9.495144091245619,9.5
10.0,10.0,9.995136144131063,10.0
10.5,10.5,10.495131155746046,10.5
11.0,11.0,10.995126412382769,11.0
11.5,11.5,11.495121910170557,11.5
12.0,12.0,11.995117643513355,12.0
12.5,12.5,12.495111669168246,12.5
13.0,13.0,12.995107958850802,13.0
13.5,13.5,13.495104456767596,13.5
14.0,14.0,13.995101154380357,14.0
14.5,14.5,14.495096556872817,14.5
15.0,15.0,14.995093717440058,15.0
15.5,15.5,15.49509104959085,15.5
16.0,16.0,15.995088546259247,16.0
16.5,16.5,16.495086200925737,16.5
17.0,17.0,16.995082966317362,17.0
17.5,17.5,17.495080991254763,17.5
18.0,18.0,17.9950791558648,18.0
18.5,18.5,18.495077456146092,18.5
19.0,19.0,18.99507515328061,19.0
19.5,19.5,19.495073778193884,19.5
20.0,20.0,19.995072528118975,20.0
20.5,20.5,20.4950714008187,20.5
21.0,21.0,20.995070394265028,21.0
21.5,21.5,21.495069106786968,21.5
22.0,22.0,21.995068394372083,22.0
22.5,22.5,22.4950677966602,22.5
23.0,23.0,22.995067312098485,23.0
23.5,23.5,23.495066793687343,23.5
24.0,24.0,23.995066584684835,24.0
24.5,24.5,24.49506648252197,24.5
25.0,25.0,24.99506648519562,25.0
26.0,26.0,25.995066590415277,26.0
27.0,27.0,26.995066934804253,27.0
28.0,28.0,27.995067285055054,28.0
29.0,29.0,28.99506772784969,29.0
30.0,30.0,29.995068259973454,30.0
31.0,31.0,30.995069217373096,31.0
32.0,32.0,31.995069956596236,32.0
33.0,33.0,32.995070771063766,33.0
34.0,34.0,33.995071656543374,34.0
35.0,35.0,34.99507260833115,35.0
36.0,36.0,35.9950741504319,36.0
37.0,37.0,36.99507524543847,37.0
38.0,38.0,37.995076389808176,38.0
39.0,39.0,38.99507757737822,39.0
40.0,40.0,39.9950794290569,40.0
41.0,41.0,40.995080699757956,41.0
42.0,42.0,41.99508199713196,42.0
43.0,43.0,42.9950833121487,43.0
44.0,44.0,43.99508464073926,44.0
45.0,45.0,44.995086647866486,45.0
46.0,46.0,45.99508798808128,46.0
47.0,47.0,46.99508932454883,47.0
48.0,48.0,47.995090652694,48.0
49.0,49.0,48.995092620054415,49.0
50.0,50.0,49.995093909122126,50.0
51.0,51.0,50.99509517607851,51.0
52.0,52.0,51.99509641754189,52.0
53.0,53.0,52.99509763049589,53.0
54.0,54.0,53.99509939072382,54.0
55.0,55.0,54.995100521161774,55.0
56.0,56.0,55.995101615091585,56.0
