,idx,mean_val,std_up,std_down
0,-9.014600618168206,,,
1,-8.714600618168207,,,
2,-8.454200618168226,,,
3,-8.234000618168293,,,
4,-8.053400618168336,,,
5,-7.9130006181683346,,,
6,-7.813200618168329,,,
7,-7.7132006181683295,,,
8,-7.613200618168284,,,
9,-7.513400618168279,,,
10,-7.413400618168279,,,
11,-7.313200618168284,,,
12,-7.212800618168293,,,
13,-7.1128006181682935,,,
14,-7.013000618168289,,,
15,-6.913000618168243,,,
16,-6.814165592984035,,,
17,-6.734565592984008,,,
18,-6.65476559298403,,,
19,-6.574765592984012,,,
20,-6.494565592984044,,,
21,-6.413400618168234,,,
22,-6.314565592984026,,,
23,-6.2343655929840125,,,
24,-6.1591982704382815,,,
25,-6.06954615581018,,,
26,-5.976600243066064,,,
27,-5.878061560171491,,,
28,-5.77964150876454,,,
29,-5.695773806126078,,,
30,-5.645625920754165,,,
31,-5.608319718870231,,,
32,-5.5903261044032755,,,
33,-5.519094041182152,,,
34,-5.445783153622252,,,
35,-5.360163507042883,,,
36,-5.273441913592118,,,
37,-5.190921032365204,,,
38,-5.161738121809071,,,
39,-5.1346639831462015,,,
40,-5.12068362972556,,,
41,-5.10229001525866,,,
42,-5.070326104403202,,,
43,-5.039395174594331,,,
44,-4.9992155824761415,,,
45,-4.925869669732017,,,
46,-4.856617345698405,,,
47,-4.796417345698419,,,
48,-4.729009592612668,,,
49,-4.669974210953662,,,
50,-4.644231919925168,,,
51,-4.629631515097584,,,
52,-4.61988362972567,,,
53,-4.602290015258751,,,
54,-4.57175908544987,,,
55,-4.531447645697323,,,
56,-4.480415582476177,,,
57,-4.409563467848086,,,
58,-4.351384877649702,,,
59,-4.295331186063371,,,
60,-4.243878714960419,,,
61,-4.196957121509712,,,
62,-4.169121032365174,,,
63,-4.143231919925101,,,
64,-4.129031515097507,,,
65,-4.119683629725629,,,
66,-4.106605223176301,,,
67,-4.089926104403194,,,
68,-4.059195174594318,,,
69,-4.028163111373199,,,
70,-3.9892130227624207,,,
71,-3.960465493865359,,,
72,-3.931675400223983,,,
73,-3.912006330032869,,,
74,-3.892006330032841,,,
75,-3.860304304015524,,,
76,-3.8273580347965876,,,
77,-3.7858958044043307,,,
78,-3.7444787149604517,,,
79,-3.7005734134014636,,,
80,-3.6742518199507685,,,
81,-3.6485095289222285,,,
82,-3.6349091240946665,,,
83,-3.62652621353854,,,
84,-3.6212836297256374,,,
85,-3.6076052231763223,,,
86,-3.590126104403235,,,
87,-3.559180200817097,,,
88,-3.5281631113731535,,,
89,-3.4896130227624114,,,
90,-3.460665493865354,,,
91,-3.4324754002240097,,,
92,-3.413406330032881,,,
93,-3.3932063300329034,,,
94,-3.377866433776325,,,
95,-3.352298754755747,,,
96,-3.3254040563147265,,,
97,-3.301893168754831,,,
98,-3.2665256368035855,,,
99,-3.229563507042834,,,
100,-3.200773413401459,,,
101,-3.174251819950769,,,
102,-3.1481095289222383,,,
103,-3.1343291755015934,,,
104,-3.125146264945486,,,
105,-3.119083629725689,,,
106,-3.112367352937199,,,
107,-3.1008034420817596,,,
108,-3.0854361195360234,,,
109,-3.0623252319761187,,,
110,-3.0323793283899567,,,
111,-3.005817198629141,,,
112,-2.9779192246464583,,,
113,-2.9540869036670685,,,
114,-2.9328754002240913,,,
115,-2.915067647138395,,,
116,-2.8964847365822823,,,
117,-2.8852147737861076,,,
118,-2.8735623026831703,,,
119,-2.863829734002915,,,
120,-2.8464361195359453,,,
121,-2.8248190300920526,,,
122,-2.8012931687548908,,,
123,-2.7667256368035806,,,
124,-2.7318979274299693,,,
125,-2.706413135347632,,,
